frequency_ghz,s11_db,s21_db,sample_id,measurement_id,label,data_source,preprocessing_operations
1.5,-12.656266967055116,-3.575324214579748,C01-S001,C01-S001-M01,Normal,SIMULATED,เรียงข้อมูลตาม measurement_id และ frequency_ghz; ไม่ได้ใช้ smoothing
1.50375,-12.217082075496528,-3.3472967211692426,C01-S001,C01-S001-M01,Normal,SIMULATED,เรียงข้อมูลตาม measurement_id และ frequency_ghz; ไม่ได้ใช้ smoothing
1.5075,-12.339606031063218,-4.0236670038927915,C01-S001,C01-S001-M01,Normal,SIMULATED,เรียงข้อมูลตาม measurement_id และ frequency_ghz; ไม่ได้ใช้ smoothing
1.51125,-12.238576087290648,-3.855136338398358,C01-S001,C01-S001-M01,Normal,SIMULATED,เรียงข้อมูลตาม measurement_id และ frequency_ghz; ไม่ได้ใช้ smoothing
1.515,-12.477781578917748,-3.8980731679737954,C01-S001,C01-S001-M01,Normal,SIMULATED,เรียงข้อมูลตาม measurement_id และ frequency_ghz; ไม่ได้ใช้ smoothing
1.51875,-11.945939813003235,-4.100514183350507,C01-S001,C01-S001-M01,Normal,SIMULATED,เรียงข้อมูลตาม measurement_id และ frequency_ghz; ไม่ได้ใช้ smoothing
1.5225,-11.963899703576576,-3.7010767862940845,C01-S001,C01-S001-M01,Normal,SIMULATED,เรียงข้อมูลตาม measurement_id และ frequency_ghz; ไม่ได้ใช้ smoothing
1.52625,-12.164523647283128,-3.3560436221571144,C01-S001,C01-S001-M01,Normal,SIMULATED,เรียงข้อมูลตาม measurement_id และ frequency_ghz; ไม่ได้ใช้ smoothing
1.53,-11.83290479795801,-3.6016804791075927,C01-S001,C01-S001-M01,Normal,SIMULATED,เรียงข้อมูลตาม measurement_id และ frequency_ghz; ไม่ได้ใช้ smoothing
1.53375,-12.017249572915366,-3.483044576746374,C01-S001,C01-S001-M01,Normal,SIMULATED,เรียงข้อมูลตาม measurement_id และ frequency_ghz; ไม่ได้ใช้ smoothing
1.5375,-12.401429289510869,-3.2661329971911384,C01-S001,C01-S001-M01,Normal,SIMULATED,เรียงข้อมูลตาม measurement_id และ frequency_ghz; ไม่ได้ใช้ smoothing
1.54125,-12.018903285189953,-3.2057768607338595,C01-S001,C01-S001-M01,Normal,SIMULATED,เรียงข้อมูลตาม measurement_id และ frequency_ghz; ไม่ได้ใช้ smoothing
1.545,-12.402862607379108,-3.5377569605604564,C01-S001,C01-S001-M01,Normal,SIMULATED,เรียงข้อมูลตาม measurement_id และ frequency_ghz; ไม่ได้ใช้ smoothing
1.54875,-11.8371495472954,-3.1929325784977327,C01-S001,C01-S001-M01,Normal,SIMULATED,เรียงข้อมูลตาม measurement_id และ frequency_ghz; ไม่ได้ใช้ smoothing
1.5525,-12.101002433105666,-3.4922204885042776,C01-S001,C01-S001-M01,Normal,SIMULATED,เรียงข้อมูลตาม measurement_id และ frequency_ghz; ไม่ได้ใช้ smoothing
1.55625,-12.126712766025554,-3.7117741315680006,C01-S001,C01-S001-M01,Normal,SIMULATED,เรียงข้อมูลตาม measurement_id และ frequency_ghz; ไม่ได้ใช้ smoothing
1.56,-12.26068822553979,-3.64987412802992,C01-S001,C01-S001-M01,Normal,SIMULATED,เรียงข้อมูลตาม measurement_id และ frequency_ghz; ไม่ได้ใช้ smoothing
1.56375,-11.674764989698796,-3.858940111318975,C01-S001,C01-S001-M01,Normal,SIMULATED,เรียงข้อมูลตาม measurement_id และ frequency_ghz; ไม่ได้ใช้ smoothing
1.5675,-12.073003999620097,-3.713152716612315,C01-S001,C01-S001-M01,Normal,SIMULATED,เรียงข้อมูลตาม measurement_id และ frequency_ghz; ไม่ได้ใช้ smoothing
1.57125,-12.140298117846283,-3.5823319601226205,C01-S001,C01-S001-M01,Normal,SIMULATED,เรียงข้อมูลตาม measurement_id และ frequency_ghz; ไม่ได้ใช้ smoothing
1.575,-12.102668441862058,-3.2999952235052037,C01-S001,C01-S001-M01,Normal,SIMULATED,เรียงข้อมูลตาม measurement_id และ frequency_ghz; ไม่ได้ใช้ smoothing
