model,class,precision,recall,f1-score,support
DecisionTree,Normal,0.75,1.0,0.8571428571428571,6.0
DecisionTree,Crack Risk,0.5,0.5,0.5,6.0
DecisionTree,High Fracture Risk,0.75,0.5,0.6,6.0
DecisionTree,macro avg,0.6666666666666666,0.6666666666666666,0.6523809523809524,18.0
DecisionTree,weighted avg,0.6666666666666666,0.6666666666666666,0.6523809523809523,18.0
RandomForest,Normal,0.75,1.0,0.8571428571428571,6.0
RandomForest,Crack Risk,0.5,0.5,0.5,6.0
RandomForest,High Fracture Risk,0.75,0.5,0.6,6.0
RandomForest,macro avg,0.6666666666666666,0.6666666666666666,0.6523809523809524,18.0
RandomForest,weighted avg,0.6666666666666666,0.6666666666666666,0.6523809523809523,18.0
SVM,Normal,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
SVM,Crack Risk,0.5555555555555556,0.8333333333333334,0.6666666666666666,6.0
SVM,High Fracture Risk,1.0,0.5,0.6666666666666666,6.0
SVM,macro avg,0.7962962962962963,0.7222222222222223,0.7222222222222222,18.0
SVM,weighted avg,0.7962962962962963,0.7222222222222222,0.7222222222222222,18.0
