frequency_ghz,s11_db,s21_db,sample_id,measurement_id,label,data_source
1.5,-12.656266967055116,-3.575324214579748,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.50375,-12.217082075496528,-3.3472967211692426,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.5075,-12.339606031063218,-4.0236670038927915,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.51125,-12.238576087290648,-3.855136338398358,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.515,-12.477781578917748,-3.8980731679737954,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.51875,-11.945939813003235,-4.100514183350507,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.5225,-11.963899703576576,-3.7010767862940845,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.52625,-12.164523647283128,-3.3560436221571144,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.53,-11.83290479795801,-3.6016804791075927,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.53375,-12.017249572915366,-3.483044576746374,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.5375,-12.401429289510869,-3.2661329971911384,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.54125,-12.018903285189953,-3.2057768607338595,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.545,-12.402862607379108,-3.5377569605604564,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.54875,-11.8371495472954,-3.1929325784977327,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.5525,-12.101002433105666,-3.4922204885042776,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.55625,-12.126712766025554,-3.7117741315680006,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.56,-12.26068822553979,-3.64987412802992,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.56375,-11.674764989698796,-3.858940111318975,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.5675,-12.073003999620097,-3.713152716612315,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.57125,-12.140298117846283,-3.5823319601226205,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.575,-12.102668441862058,-3.2999952235052037,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.57875,-11.822675283530218,-3.076380997643553,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.5825,-11.858222449934937,-3.8176839545108066,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.58625,-11.829708149566613,-3.388382836315055,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.59,-11.810174864776883,-3.7292211140093476,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.59375,-11.283077005079031,-3.3625419540256245,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.5975,-12.033938213598795,-3.5050794254309903,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.60125,-12.05245608622671,-3.9103768753114894,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.605,-12.130045945440585,-3.2457209039313337,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.60875,-11.68864587878912,-3.6114968463818933,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.6125,-11.522700909224495,-3.5924684477055417,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.61625,-11.883988731764255,-3.7193787952220094,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.62,-12.090753059708863,-3.618260440358973,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.62375,-12.075471501611855,-3.357439066415433,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.6275,-11.622918278626187,-3.504774809972772,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.63125,-11.585664179853788,-3.3800400463840328,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.635,-11.63683994378629,-3.3719753391582614,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.63875,-11.991211243986921,-3.142165092653707,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.6425,-11.714331837562899,-3.5420634521305456,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.64625,-11.74206826091563,-3.815308198715348,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.65,-11.705253673467304,-3.206205350914555,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.65375,-11.503929457525397,-3.543792455244202,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.6575,-11.693506419847713,-3.199060186267533,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.66125,-11.552883148243742,-3.377318867209799,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.665,-11.733015137396945,-3.5040177369897787,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.66875,-11.664056913760332,-3.392509663652305,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.6724999999999999,-11.559693432128485,-3.0121062370705274,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.67625,-12.185306472413668,-2.986474934335317,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.68,-11.843941242035683,-3.4733718171526435,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
