frequency_ghz,s11_db,sample_id,measurement_id,label,data_source
1.5,-12.656266967055116,C01-S001,C01-S001-M01,Normal,SIMULATED
1.50375,-12.217082075496528,C01-S001,C01-S001-M01,Normal,SIMULATED
1.5075,-12.339606031063218,C01-S001,C01-S001-M01,Normal,SIMULATED
1.51125,-12.238576087290648,C01-S001,C01-S001-M01,Normal,SIMULATED
1.515,-12.477781578917748,C01-S001,C01-S001-M01,Normal,SIMULATED
1.51875,-11.945939813003235,C01-S001,C01-S001-M01,Normal,SIMULATED
1.5225,-11.963899703576576,C01-S001,C01-S001-M01,Normal,SIMULATED
1.52625,-12.164523647283128,C01-S001,C01-S001-M01,Normal,SIMULATED
1.53,-11.83290479795801,C01-S001,C01-S001-M01,Normal,SIMULATED
1.53375,-12.017249572915366,C01-S001,C01-S001-M01,Normal,SIMULATED
1.5375,-12.401429289510869,C01-S001,C01-S001-M01,Normal,SIMULATED
1.54125,-12.018903285189953,C01-S001,C01-S001-M01,Normal,SIMULATED
1.545,-12.402862607379108,C01-S001,C01-S001-M01,Normal,SIMULATED
1.54875,-11.8371495472954,C01-S001,C01-S001-M01,Normal,SIMULATED
1.5525,-12.101002433105666,C01-S001,C01-S001-M01,Normal,SIMULATED
1.55625,-12.126712766025554,C01-S001,C01-S001-M01,Normal,SIMULATED
1.56,-12.26068822553979,C01-S001,C01-S001-M01,Normal,SIMULATED
1.56375,-11.674764989698796,C01-S001,C01-S001-M01,Normal,SIMULATED
1.5675,-12.073003999620097,C01-S001,C01-S001-M01,Normal,SIMULATED
1.57125,-12.140298117846283,C01-S001,C01-S001-M01,Normal,SIMULATED
1.575,-12.102668441862058,C01-S001,C01-S001-M01,Normal,SIMULATED
1.57875,-11.822675283530218,C01-S001,C01-S001-M01,Normal,SIMULATED
1.5825,-11.858222449934937,C01-S001,C01-S001-M01,Normal,SIMULATED
1.58625,-11.829708149566613,C01-S001,C01-S001-M01,Normal,SIMULATED
1.59,-11.810174864776883,C01-S001,C01-S001-M01,Normal,SIMULATED
1.59375,-11.283077005079031,C01-S001,C01-S001-M01,Normal,SIMULATED
1.5975,-12.033938213598795,C01-S001,C01-S001-M01,Normal,SIMULATED
1.60125,-12.05245608622671,C01-S001,C01-S001-M01,Normal,SIMULATED
1.605,-12.130045945440585,C01-S001,C01-S001-M01,Normal,SIMULATED
1.60875,-11.68864587878912,C01-S001,C01-S001-M01,Normal,SIMULATED
1.6125,-11.522700909224495,C01-S001,C01-S001-M01,Normal,SIMULATED
1.61625,-11.883988731764255,C01-S001,C01-S001-M01,Normal,SIMULATED
1.62,-12.090753059708863,C01-S001,C01-S001-M01,Normal,SIMULATED
1.62375,-12.075471501611855,C01-S001,C01-S001-M01,Normal,SIMULATED
1.6275,-11.622918278626187,C01-S001,C01-S001-M01,Normal,SIMULATED
1.63125,-11.585664179853788,C01-S001,C01-S001-M01,Normal,SIMULATED
1.635,-11.63683994378629,C01-S001,C01-S001-M01,Normal,SIMULATED
1.63875,-11.991211243986921,C01-S001,C01-S001-M01,Normal,SIMULATED
1.6425,-11.714331837562899,C01-S001,C01-S001-M01,Normal,SIMULATED
1.64625,-11.74206826091563,C01-S001,C01-S001-M01,Normal,SIMULATED
1.65,-11.705253673467304,C01-S001,C01-S001-M01,Normal,SIMULATED
1.65375,-11.503929457525397,C01-S001,C01-S001-M01,Normal,SIMULATED
1.6575,-11.693506419847713,C01-S001,C01-S001-M01,Normal,SIMULATED
1.66125,-11.552883148243742,C01-S001,C01-S001-M01,Normal,SIMULATED
1.665,-11.733015137396945,C01-S001,C01-S001-M01,Normal,SIMULATED
1.66875,-11.664056913760332,C01-S001,C01-S001-M01,Normal,SIMULATED
1.6724999999999999,-11.559693432128485,C01-S001,C01-S001-M01,Normal,SIMULATED
1.67625,-12.185306472413668,C01-S001,C01-S001-M01,Normal,SIMULATED
1.68,-11.843941242035683,C01-S001,C01-S001-M01,Normal,SIMULATED
1.68375,-11.889838096025068,C01-S001,C01-S001-M01,Normal,SIMULATED
