sample_id,measurement_id,label,data_source,s11_max_db,s11_min_db,s11_mean_db,s11_median_db,s11_std_db,s11_range_db,s11_slope,s11_auc,s11_max_frequency_ghz,s11_min_frequency_ghz,s11_strongest_prominence_db,s21_max_db,s21_min_db,s21_mean_db,s21_median_db,s21_std_db,s21_range_db,s21_slope,s21_auc,s21_max_frequency_ghz,s21_min_frequency_ghz,s21_strongest_prominence_db
C01-S001,C01-S001-M01,Normal,SIMULATED,-10.986759893740489,-16.166430462988476,-12.702783093239017,-12.354221502081458,1.1672190421889084,5.179670569247987,0.4532733133715217,-19.05690466633374,2.8875,2.1862500000000002,4.883353457909445,-2.986474934335317,-6.619820409962289,-4.792002230490336,-4.942615407056224,0.7907947086638444,3.633345475626972,-1.1616166836327275,-7.189596805961186,1.67625,2.1525,2.214624314657133
C01-S001,C01-S001-M02,Normal,SIMULATED,-10.530679306249587,-16.13908515132915,-12.706701380437416,-12.361080793267053,1.1553808381296584,5.608405845079565,0.42722567147305035,-19.064782766098368,3.0,2.1675,5.311992986575717,-3.0546412221073442,-6.626704284107955,-4.7944239612633375,-4.982841047661456,0.7904722364485616,3.572063062000611,-1.2215941164785546,-7.193312193540617,1.62375,2.145,2.143854503727832
C01-S001,C01-S001-M03,Normal,SIMULATED,-10.685643478442534,-16.33300840773168,-12.74500976365713,-12.416436836642129,1.169072982656245,5.647364929289145,0.3364006626009788,-19.122142535565526,3.0,2.1862500000000002,5.3128397391578766,-2.7732796304023863,-6.62094442030969,-4.778921938261363,-4.937028117541663,0.8019319391737458,3.8476647899073035,-1.223718876152603,-7.169570215833652,1.65375,2.1862500000000002,2.291000730010402
C01-S002,C01-S002-M01,Normal,SIMULATED,-9.045972933279723,-14.99317245320229,-11.102170326981136,-10.846010877209437,1.214197037639179,5.947199519922567,0.6678121019917767,-16.656567939671348,2.83875,2.145,5.285749907321193,-3.284034666269814,-6.961987957800289,-5.006747508520653,-5.12403717282989,0.7513333209739042,3.6779532915304745,-1.0392312707261862,-7.5120013698189965,1.665,2.11875,2.498811403127122
C01-S002,C01-S002-M02,Normal,SIMULATED,-9.229863462284925,-15.274692100830443,-11.111263816915818,-10.815698006746016,1.2536805482977609,6.044828638545518,0.6976795217612307,-16.66916776205845,2.9025,2.1375,5.839624487346217,-3.330294492289948,-7.078816533934215,-5.0327825749431,-5.16495964906047,0.7781034263357456,3.748522041644267,-1.0811516452278773,-7.54931394294532,1.7475,2.1525,2.7586584547452686
C01-S002,C01-S002-M03,Normal,SIMULATED,-9.244189324827802,-15.130664084319179,-11.116569015948782,-10.812871485396949,1.215561935713752,5.886474759491376,0.7003554960767769,-16.676385534118573,2.835,2.1525,5.3839737430537,-3.440381922934876,-7.0416671196405485,-5.0295352498662185,-5.149619850886643,0.7544595552488108,3.6012851967056725,-1.0442943145097399,-7.54547252030077,1.66125,2.11125,2.637668278920562
C01-S003,C01-S003-M01,Normal,SIMULATED,-9.951953109027855,-15.925519766223767,-11.884508459127867,-11.655157060800375,1.097780514094757,5.973566657195912,0.508617273945689,-17.826913183379748,2.82,2.15625,5.447153679642927,-2.953390135450275,-6.727422745942797,-4.728535950708212,-4.881098064425199,0.7634018333190945,3.774032610492522,-1.1905084588687285,-7.092082741593833,1.5525,2.1525,2.403139213855738
C01-S003,C01-S003-M02,Normal,SIMULATED,-10.283370783107808,-15.535758375851072,-11.840340406304449,-11.582719954757478,1.0640844091039705,5.252387592743265,0.415817579206811,-17.76230698363508,1.83375,2.15625,5.157523910250038,-3.0884114662323343,-6.467633919018964,-4.736281276635174,-4.893032663711441,0.7452307948364546,3.37922245278663,-1.1589769442812128,-7.105026855248729,1.77,2.1825,2.3384973974874503
C01-S003,C01-S003-M03,Normal,SIMULATED,-10.265127865478956,-15.815352276373211,-11.859978587711648,-11.609398941354407,1.073916721157178,5.5502244108942556,0.38343594275486076,-17.792334859950678,1.74375,2.1487499999999997,5.542017243141544,-3.110892106309948,-6.53812256243557,-4.735167634490565,-4.894255847893659,0.7434350168908592,3.4272304561256215,-1.1574020256947455,-7.104995186275191,1.7662499999999999,2.175,2.3345063273242967
C01-S004,C01-S004-M01,Normal,SIMULATED,-9.023465983027881,-15.206589145231774,-11.2513470024317,-10.958215650902856,1.2967588860648451,6.183123162203893,0.6099806914333183,-16.881478778668125,2.9699999999999998,2.15625,5.371066053191903,-3.2288320086170605,-7.2537472394585265,-5.0919320291851315,-5.18422169093721,0.7831151007706468,4.024915230841466,-1.0447958277675873,-7.641057057768652,1.59,2.1375,2.7428079137717747
